2016-04-20 22:03:23 install libpam0g:i386 <none> 1.1.8-3.2ubuntu2
2016-04-20 22:03:23 status half-installed libpam0g:i386 1.1.8-3.2ubuntu2
2016-04-20 22:03:23 status unpacked libpam0g:i386 1.1.8-3.2ubuntu2
2016-04-20 22:03:23 status unpacked libpam0g:i386 1.1.8-3.2ubuntu2
2016-04-20 22:03:23 install libpcre3:i386 <none> 2:8.38-3.1
2016-04-20 22:03:23 status half-installed libpcre3:i386 2:8.38-3.1
2016-04-20 22:03:24 status unpacked libpcre3:i386 2:8.38-3.1
2016-04-20 22:03:24 status unpacked libpcre3:i386 2:8.38-3.1
2016-04-20 22:03:24 install libprocps4:i386 <none> 2:3.3.10-4ubuntu2
2016-04-20 22:03:24 status half-installed libprocps4:i386 2:3.3.10-4ubuntu2
2016-04-20 22:03:24 status unpacked libprocps4:i386 2:3.3.10-4ubuntu2
2016-04-20 22:03:24 status unpacked libprocps4:i386 2:3.3.10-4ubuntu2
2016-04-20 22:03:24 install libseccomp2:i386 <none> 2.2.3-3ubuntu3
2016-04-20 22:03:24 status half-installed libseccomp2:i386 2.2.3-3ubuntu3
2016-04-20 22:03:24 status unpacked libseccomp2:i386 2.2.3-3ubuntu3
2016-04-20 22:03:24 status unpacked libseccomp2:i386 2.2.3-3ubuntu3
2016-04-20 22:03:24 install libselinux1:i386 <none> 2.4-3build2
2016-04-20 22:03:24 status half-installed libselinux1:i386 2.4-3build2
2016-04-20 22:03:24 status unpacked libselinux1:i386 2.4-3build2
2016-04-20 22:03:24 status unpacked libselinux1:i386 2.4-3build2
2016-04-20 22:03:24 install libsemanage-common:all <none> 2.3-1build3
2016-04-20 22:03:24 status half-installed libsemanage-common:all 2.3-1build3
2016-04-20 22:03:24 status unpacked libsemanage-common:all 2.3-1build3
2016-04-20 22:03:24 status unpacked libsemanage-common:all 2.3-1build3
2016-04-20 22:03:24 install libsemanage1:i386 <none> 2.3-1build3
2016-04-20 22:03:24 status half-installed libsemanage1:i386 2.3-1build3
2016-04-20 22:03:24 status unpacked libsemanage1:i386 2.3-1build3
2016-04-20 22:03:24 status unpacked libsemanage1:i386 2.3-1build3
2016-04-20 22:03:24 install libsepol1:i386 <none> 2.4-2
2016-04-20 22:03:24 status half-installed libsepol1:i386 2.4-2
2016-04-20 22:03:24 status unpacked libsepol1:i386 2.4-2
2016-04-20 22:03:24 status unpacked libsepol1:i386 2.4-2
2016-04-20 22:03:24 install libsmartcols1:i386 <none> 2.27.1-6ubuntu3
2016-04-20 22:03:24 status half-installed libsmartcols1:i386 2.27.1-6ubuntu3
2016-04-20 22:03:24 status unpacked libsmartcols1:i386 2.27.1-6ubuntu3
2016-04-20 22:03:24 status unpacked libsmartcols1:i386 2.27.1-6ubuntu3
2016-04-20 22:03:24 install libss2:i386 <none> 1.42.13-1ubuntu1
2016-04-20 22:03:24 status half-installed libss2:i386 1.42.13-1ubuntu1
2016-04-20 22:03:24 status unpacked libss2:i386 1.42.13-1ubuntu1
2016-04-20 22:03:24 status unpacked libss2:i386 1.42.13-1ubuntu1
2016-04-20 22:03:24 install libsystemd0:i386 <none> 229-4ubuntu4
2016-04-20 22:03:24 status half-installed libsystemd0:i386 229-4ubuntu4
2016-04-20 22:03:24 status unpacked libsystemd0:i386 229-4ubuntu4
2016-04-20 22:03:24 status unpacked libsystemd0:i386 229-4ubuntu4
2016-04-20 22:03:24 install libtinfo5:i386 <none> 6.0+20160213-1ubuntu1
2016-04-20 22:03:24 status half-installed libtinfo5:i386 6.0+20160213-1ubuntu1
2016-04-20 22:03:24 status unpacked libtinfo5:i386 6.0+20160213-1ubuntu1
2016-04-20 22:03:24 status unpacked libtinfo5:i386 6.0+20160213-1ubuntu1
2016-04-20 22:03:24 install libudev1:i386 <none> 229-4ubuntu4
2016-04-20 22:03:24 status half-installed libudev1:i386 229-4ubuntu4
2016-04-20 22:03:24 status unpacked libudev1:i386 229-4ubuntu4
2016-04-20 22:03:24 status unpacked libudev1:i386 229-4ubuntu4
2016-04-20 22:03:24 install libustr-1.0-1:i386 <none> 1.0.4-5
2016-04-20 22:03:24 status half-installed libustr-1.0-1:i386 1.0.4-5
2016-04-20 22:03:24 status unpacked libustr-1.0-1:i386 1.0.4-5
2016-04-20 22:03:24 status unpacked libustr-1.0-1:i386 1.0.4-5
2016-04-20 22:03:24 install libuuid1:i386 <none> 2.27.1-6ubuntu3
2016-04-20 22:03:24 status half-installed libuuid1:i386 2.27.1-6ubuntu3
2016-04-20 22:03:24 status unpacked libuuid1:i386 2.27.1-6ubuntu3
2016-04-20 22:03:24 status unpacked libuuid1:i386 2.27.1-6ubuntu3
2016-04-20 22:03:24 install locales:all <none> 2.23-0ubuntu3
2016-04-20 22:03:24 status half-installed locales:all 2.23-0ubuntu3
